No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
678|KUG 1020+425|155.90367 |  42.34911 |GPair| 13651| 0.045535 |SUN |15.5 |  0.000|7|0|6|7|2|0|1
679|ESO 436-IG 013|155.91927 | -29.22753 |G| 17568| 0.058601 |SLS |16.88|  0.000|13|1|38|6|1|13|0
680|UGC 05615|155.94607 |  53.10529 |GPair||||14.2 |  0.000|14|1|7|4|0|1|7
681|ESO 436-IG 015|156.06580 | -28.73058 |GPair|  8026| 0.026772 |SUN |15.12|  0.000|22|1|5|4|1|1|0
682|KPG 235|156.18458 |   6.42389 |GPair| 13124| 0.043777 |S1L |14.5 |  0.000|7|0|1|2|1|0|2
683|IRAS 10222+1532|156.24308 |  15.29606 |GPair| 32857| 0.109599 |SUN |     |  0.000|7|0|9|4|1|0|7
684|NGC 3239|156.27048 |  17.16363 |G|   710| 0.002368 |UUN |11.73|  0.000|222|7|89|41|23|8|0
685|NGC 3256C|157.27422 | -43.84932 |G|  2719| 0.009070 |SLS |13.29|  0.000|32|4|41|12|7|17|0
686|NGC 3263|157.30555 | -44.12286 |G|  3002| 0.010012 |S1L |12.5 |  0.000|56|6|71|19|10|15|0
687|UGC 05694|157.42004 |   1.92503 |GPair||||15.3 |  0.000|7|1|7|4|0|1|0
688|CGCG 212-022|158.37613 |  44.07482 |GPair| 15791| 0.052673 |SUN |15.3 |  0.000|3|0|6|4|2|0|0
689|CGCG 065-055|158.38759 |  11.87359 |GPair| 10247| 0.034180 |SUN |15.2 |  0.000|19|0|9|6|3|0|0
690|KUG 1030+614|158.50712 |  61.21554 |GPair|  9226| 0.030775 |SLS |16.6g|  0.000|7|0|32|7|2|2|0
691|ESO 437-IG 003|158.78247 | -27.99164 |GPair|  2391| 0.007976 |SUN |15.35|  0.000|21|1|16|11|5|12|0
692|VIII Zw 090|159.13292 |   2.36250 |GPair| 15026| 0.050121 |SUN |15.6 |  0.000|10|1|2|4|1|2|0
693|NGC 3303|159.24917 |  18.13667 |GPair|  6281| 0.020951 |SUN |14.5 |  0.000|74|1|19|13|21|5|0
694|ESO 264-IG 013|159.27764 | -42.85496 |GPair| 10733| 0.035800 |SUN |     |  0.000|7|1|1|2|1|1|0
695|NGC 3314|159.30500 | -27.68444 |GPair|  2822| 0.009413 |SUN |14   |  0.000|42|5|11|9|4|14|0
696|WISEA J103806.14+555948.3|159.52561 |  55.99675 |GPair||||     |  0.000|2|0|12|3|0|0|0
697|HIPASS J1039-45|159.80667 | -45.08972 |GPair|  6206| 0.020702 |S1L |     |  0.000|2|0|1|1|1|0|0
698|HIZSS 065|159.96250 | -54.52556 |GPair|  2753| 0.009183 |UUN |     |  0.000|5|0|2|1|2|0|0
699|HIPASS J1041-24|160.28667 | -24.63667 |GPair|  3661| 0.012212 |S1L |     |  0.000|3|0|1|1|1|0|0
700|CGCG 037-120|160.48208 |   3.83417 |GPair| 16711| 0.055742 |S1L |15.5 |  0.000|5|0|2|3|2|0|0
701|CGCG 037-122|160.58083 |   6.20111 |GPair|  8257| 0.027542 |SUN |15.0 |  0.000|8|0|3|5|4|0|4
702|VV 410|161.02921 | -16.46981 |G|  8640| 0.028820 |S1L |14.66|  0.000|29|2|33|14|9|5|0
703|UGC 05884|161.76095 |  26.54293 |G|  6289| 0.020979 |SLS |14.1g|  0.000|84|2|67|35|29|11|0
704|CGCG 212-054|161.91417 |  38.92778 |GPair| 10611| 0.035394 |SUN |14.15|  0.000|14|1|2|3|1|0|2
705|CGCG 038-016|162.04958 |   4.99833 |GPair| 10271| 0.034260 |S1L |14.8 |  0.000|4|0|2|4|2|0|0
706|HIPASS J1049-19|162.26542 | -19.64917 |GPair|  4193| 0.013986 |S1L |     |  0.000|3|0|1|1|1|0|0
707|UGCA 219|162.27092 |  52.33534 |G|  2365| 0.007889 |SLS |15.5g|  0.000|108|3|160|34|20|12|0
708|VIII Zw 105|162.33167 |  13.23000 |GPair| 17291| 0.057676 |SUN |17.33|  0.000|5|1|5|3|1|0|6
709|ARP 270|162.46888 |  32.98509 |GPair|  1637| 0.005460 |SUN |12.0 |  0.000|75|5|35|9|1|0|1
710|UGC 05941|162.58648 |  41.46526 |GPair|  7144| 0.023830 |SUN |14.5 |  0.000|20|1|8|8|4|5|1
711|WISEA J105048.29+574304.0|162.70140 |  57.71730 |GPair|||| 0.55|  0.000|6|0|26|9|0|0|4
712|IC 0649|162.71670 |   1.16390 |GPair| 11614| 0.038740 |SUN |14.9 |  0.000|18|0|2|3|3|1|1
