No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
5829|WISEA J230558.59+060406.7|346.49432 |   6.06868 |QSO|914134| 3.049221 |SLS |     |  0.000|4|0|12|2|1|0|0
5830|WISEA J230633.01+231640.0|346.63731 |  23.27800 |QSO|907896| 3.028415 |SLS |     |  0.000|4|0|12|2|1|0|0
5831|WISEA J230739.29+242230.9|346.91370 |  24.37512 |QSO|910389| 3.036729 |SLS |     |  0.000|3|0|12|2|1|0|0
5832|WISEA J230805.57+112901.8|347.02322 |  11.48383 |QSO|912753| 3.044617 |SLS |     |  0.000|3|0|12|3|2|0|0
5833|WISEA J230825.05+192332.3|347.10440 |  19.39232 |QSO|913018| 3.045501 |SLS |     |  0.000|4|0|12|2|1|0|0
5834|WISEA J230826.75+091712.9|347.11145 |   9.28694 |QSO|907886| 3.028380 |SLS |     |  0.000|4|0|12|2|1|0|0
5835|WISEA J230831.77+221013.3|347.13225 |  22.17048 |QSO|910031| 3.035536 |SLS |     |  0.000|3|0|12|2|1|0|0
5836|WISEA J230901.73+240849.6|347.25730 |  24.14717 |QSO|904977| 3.018679 |SLS |     |  0.000|0|0|12|2|1|0|0
5837|WISEA J230902.24+224435.0|347.25942 |  22.74305 |QSO|899427| 3.000164 |SLS |     |  0.000|0|0|12|2|1|0|0
5838|WISEA J230903.57+153342.1|347.26491 |  15.56172 |*|910118| 3.035827 |SLS |19.8g|  0.000|3|0|17|3|1|4|0
5839|WISEA J230913.64+013131.3|347.30685 |   1.52540 |QSO|912693| 3.044417 |SLS |     |  0.000|8|0|12|3|4|0|0
5840|WISEA J230918.49+051057.7|347.32707 |   5.18270 |QSO|907492| 3.027066 |SLS |     |  0.000|4|0|12|2|1|0|0
5841|WISEA J230925.42+132132.6|347.35598 |  13.35892 |*|910058| 3.035626 |SLS |21.0g|  0.000|5|0|17|3|2|4|0
5842|WISEA J230946.12+005535.6|347.44233 |   0.92613 |*|914367| 3.050000 |PUN |22.3g|  0.000|1|0|17|3|1|4|0
5843|WISEA J231020.45+135702.8|347.58523 |  13.95078 |*|906423| 3.023502 |SLS |20.7g|  0.000|1|0|18|3|1|4|0
5844|WISEA J231032.36+025851.4|347.63489 |   2.98094 |QSO|910948| 3.038595 |SLS |     |  0.000|0|0|12|2|1|0|0
5845|WISEA J231032.87-013329.4|347.63697 |  -1.55817 |QSO|913642| 3.047580 |SLS |     |  0.000|4|0|12|2|1|0|0
5846|WISEA J231033.82-005653.5|347.64086 |  -0.94856 |*|914367| 3.050000 |PUN |21.1g|  0.000|1|0|17|3|1|4|0
5847|WISEA J231050.83+001020.7|347.71173 |   0.17220 |*|907172| 3.026000 |PUN |19.9g|  0.000|2|0|21|5|2|4|0
5848|WISEA J231055.33+004817.2|347.73055 |   0.80478 |QSO|900849| 3.004908 |SLS |18.8g|  0.000|48|0|52|17|24|8|0
5849|WISEA J231104.10+004742.1|347.76703 |   0.79460 |*|899378| 3.000000 |PUN |19.8g|  0.000|1|0|20|4|1|4|0
5850|WISEA J231119.86+195047.0|347.83279 |  19.84639 |QSO|904204| 3.016098 |SLS |     |  0.000|0|0|12|2|1|0|0
5851|WISEA J231121.77+342100.2|347.84072 |  34.35006 |RadioS|910909| 3.038465 |SLS | 1.70|  0.000|5|0|13|4|1|0|0
5852|WISEA J231239.45+054341.5|348.16438 |   5.72820 |QSO|912609| 3.044135 |SLS |     |  0.000|4|0|12|2|1|0|0
5853|WISEA J231304.25+135303.5|348.26779 |  13.88431 |QSO|904901| 3.018425 |SLS |19.8g|  0.000|37|0|39|7|13|8|0
5855|WISEA J231406.86-004743.0|348.52826 |  -0.79525 |*|914367| 3.050000 |PUN |20.7g|  0.000|1|0|21|4|1|4|0
5856|[HB89] 2311-036|348.53004 |  -3.42431 |QSO|913200| 3.046108 |SLS |19.9 |  0.000|45|0|19|11|5|0|0
5857|WISEA J231412.28+014702.6|348.55117 |   1.78408 |UvS|911386| 3.040057 |SLS |     |  0.000|2|0|16|3|1|0|0
5858|WISEA J231418.02-001403.0|348.57522 |  -0.23400 |*|914367| 3.050000 |PUN |21.6g|  0.000|1|0|21|4|1|4|0
5859|WISEA J231427.76-011031.0|348.61554 |  -1.17520 |UvES|914367| 3.050000 |PUN |20.9r|  0.000|6|0|24|5|3|4|0
5860|WISEA J231456.63-030652.6|348.73592 |  -3.11458 |QSO|908742| 3.031237 |SLS |     |  0.000|4|0|12|2|1|0|0
5861|WISEA J231515.02-005318.9|348.81240 |  -0.88857 |*|913069| 3.045669 |SLS |21.4g|  0.000|10|0|17|7|6|4|0
5863|WISEA J231540.91+131456.5|348.92039 |  13.24877 |*|908875| 3.031681 |SLS |21.6g|  0.000|6|0|17|3|2|4|0
5864|2MASS J23155402-1033379|348.97508 | -10.56056 |*|909870| 3.035000 |PUN |18.5g|  0.000|3|0|10|2|1|4|0
5866|WISEA J231646.66+001537.3|349.19438 |   0.26039 |*|899378| 3.000000 |PUN |19.5g|  0.000|1|0|17|3|1|4|0
5867|WISEA J231705.19-000202.2|349.27146 |  -0.03388 |*|899515| 3.000457 |SLS |22.1g|  0.000|10|0|17|7|6|3|0
5869|WISEA J231721.74+044201.4|349.34061 |   4.70041 |QSO|913850| 3.048274 |SLS |     |  0.000|4|0|12|2|1|0|0
5870|WISEA J231722.15+121610.3|349.34204 |  12.26910 |QSO|908997| 3.032088 |SLS |     |  0.000|3|0|9|2|1|0|0
5871|WISEA J231722.23+030016.2|349.34252 |   3.00448 |QSO|903439| 3.013548 |SLS |     |  0.000|8|0|12|4|3|0|0
5872|WISEA J231725.72+003653.3|349.35723 |   0.61489 |*|911084| 3.039048 |SLS |20.6g|  0.000|10|0|17|6|6|4|0
5874|WISEA J231746.61+092610.3|349.44426 |   9.43624 |QSO|899602| 3.000749 |SLS |     |  0.000|4|0|12|2|1|0|0
5875|WISEA J231747.39+002705.0|349.44749 |   0.45167 |G|914367| 3.050000 |PUN |21.1g|  0.000|1|0|27|3|1|4|0
5876|WISEA J231758.01+044858.1|349.49171 |   4.81624 |QSO|902839| 3.011546 |SLS |     |  0.000|0|0|12|2|1|0|0
5878|WISEA J231826.95+000740.5|349.61196 |   0.12797 |G|899378| 3.000000 |PUN |20.4g|  0.000|2|0|30|4|2|4|0
5879|WISEA J231933.69-014016.6|349.89018 |  -1.67129 |QSO|913895| 3.048424 |SLS |     |  0.000|7|0|12|3|3|0|0
5881|WISEA J232020.59+004041.0|350.08556 |   0.67791 |*|902406| 3.010101 |SLS |20.8g|  0.000|11|0|17|7|7|4|0
5882|WISEA J232051.58+272920.3|350.21488 |  27.48878 |QSO|910569| 3.037330 |SLS |     |  0.000|3|0|12|2|1|0|0
5883|WISEA J232053.44+073930.2|350.22272 |   7.65867 |QSO|909528| 3.033860 |SLS |     |  0.000|3|0|12|2|1|0|0
5884|WISEA J232109.22+251815.1|350.28837 |  25.30414 |QSO|906510| 3.023790 |SLS |     |  0.000|3|0|12|2|1|0|0
5885|WISEA J232121.15+094640.9|350.33814 |   9.77803 |IrS|905373| 3.019999 |SUN |     |  0.000|1|0|12|2|1|0|0
5886|WISEA J232126.26+114018.9|350.35945 |  11.67192 |QSO|900240| 3.002878 |SLS |     |  0.000|5|0|12|3|2|0|0
5887|WISEA J232135.47-004456.1|350.39779 |  -0.74880 |*|911969| 3.042000 |PUN |20.8g|  0.000|2|0|17|4|2|4|0
5888|WISEA J232155.82+051641.7|350.48191 |   5.27830 |QSO|901732| 3.007854 |SLS |     |  0.000|4|0|12|2|1|0|0
5889|WISEA J232205.44+194958.2|350.52275 |  19.83285 |IrS|911020| 3.038834 |SLS |     |  0.000|0|0|16|3|1|0|0
5890|WISEA J232215.63+171521.8|350.56514 |  17.25608 |RadioS|912086| 3.042390 |SLS | 1.26|  0.000|4|0|13|4|2|0|0
5891|WISEA J232219.10+123619.2|350.57977 |  12.60523 |QSO|900585| 3.004029 |SLS |     |  0.000|3|0|12|2|1|0|0
5894|WISEA J232346.91+064750.3|350.94521 |   6.79737 |QSO|909576| 3.034017 |SLS |     |  0.000|0|0|12|2|1|0|0
5895|PHz G067.2-63.8:[MSB2017c] 02 |351.09882 | -10.83836 |IrS|899378| 3.000000 |PUN |     |  0.000|1|0|1|1|1|0|0
5896|WISEA J232453.93-104952.6|351.22462 | -10.83120 |*|912868| 3.045000 |PUN |21.9g|  0.000|2|0|17|2|1|4|0
5897|WISEA J232552.03-003159.8|351.46724 |  -0.53343 |*|899378| 3.000000 |PUN |20.5g|  0.000|2|0|21|4|1|4|0
5898|WISEA J232555.39+194727.1|351.48074 |  19.79094 |QSO|908926| 3.031851 |SLS |     |  0.000|3|0|12|2|1|0|0
5899|WISEA J232604.47-010911.4|351.51857 |  -1.15314 |*|909846| 3.034918 |SLS |20.4g|  0.000|11|0|17|6|5|4|0
5901|WISEA J232611.20+190924.3|351.54689 |  19.15640 |QSO|913046| 3.045593 |SLS |     |  0.000|4|0|12|2|1|0|0
5902|PHz G066.91-64.69|351.64801 | -11.51110 |RadioS|902375| 3.010000 |PUN |     |  0.000|1|0|4|1|1|0|0
5903|HerMES J232658.4-021900|351.74320 |  -2.31670 |IrS|902375| 3.010000 |PUN |     |  0.000|3|0|3|2|2|0|0
5904|WISEA J232712.04+205854.8|351.80022 |  20.98186 |QSO|908220| 3.029494 |SLS |     |  0.000|3|0|12|2|1|0|0
5905|WISEA J232750.31+105825.9|351.95968 |  10.97345 |QSO|900332| 3.003185 |SLS |     |  0.000|0|0|12|2|1|0|0
5907|WISEA J232908.32+324301.6|352.28456 |  32.71707 |QSO|906653| 3.024269 |SLS |     |  0.000|4|0|12|2|1|0|0
5909|WISEA J233018.80+010653.2|352.57849 |   1.11465 |QSO|905673| 3.020998 |SLS |19.6i|  0.000|25|0|18|7|12|4|0
5910|WISEA J233104.94+120138.6|352.77067 |  12.02738 |QSO|911226| 3.039522 |SLS |     |  0.000|3|0|12|2|1|0|0
5912|WISEA J233125.46-005001.1|352.85591 |  -0.83415 |*|914367| 3.050000 |PUN |21.3g|  0.000|1|0|17|3|1|4|0
5913|WISEA J233142.67+294857.1|352.92765 |  29.81587 |QSO|908530| 3.030531 |SLS |     |  0.000|4|0|12|2|1|0|0
5914|WISEA J233154.05+102758.0|352.97531 |  10.46573 |QSO|903489| 3.013715 |SLS |     |  0.000|3|0|12|2|1|0|0
5915|WISEA J233204.80+240116.5|353.02000 |  24.02129 |QSO|900137| 3.002534 |SLS |     |  0.000|3|0|12|2|1|0|0
5916|WISEA J233208.15+135525.3|353.03412 |  13.92359 |*|909817| 3.034823 |SLS |21.6g|  0.000|7|0|17|4|3|4|0
5917|WISEA J233228.92+132529.3|353.12044 |  13.42477 |QSO|903655| 3.014268 |SLS |     |  0.000|4|0|12|2|1|0|0
