No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
4792|WISEA J143746.04+491619.0|219.44181 |  49.27188 |*|905392| 3.020063 |SLS |21.5g|  0.000|5|0|17|3|2|4|0
4793|SDSS J143754.02+344920.6|219.47517 |  34.82252 |G|901176| 3.006000 |PUN |21.6g|  0.000|2|0|28|4|1|4|0
4794|WISEA J143758.12+345938.3|219.49217 |  34.99399 |VisS|907772| 3.028000 |PUN |22.8g|  0.000|3|0|37|4|1|4|0
4795|SDSS J143759.96+334748.3|219.50000 |  33.79679 |G|906573| 3.024000 |PUN |23.0g|  0.000|2|0|25|3|1|4|0
4796|WISEA J143800.69+195625.3|219.50291 |  19.94037 |G|909607| 3.034123 |SLS |18.51|  0.000|21|0|21|7|7|4|0
4797|SDSS J143801.78+332147.7|219.50744 |  33.36326 |*|912868| 3.045000 |PUN |21.7g|  0.000|3|0|5|1|1|4|0
4798|WISEA J143804.18+492548.7|219.51741 |  49.43018 |*|909870| 3.035000 |PUN |22.6g|  0.000|2|0|17|2|1|4|1
4799|WISEA J143810.11+343005.1|219.54216 |  34.50142 |G|910470| 3.037000 |PUN |22.3g|  0.000|2|0|37|4|1|4|0
4800|SDSS J143814.54+352926.3|219.56067 |  35.49069 |*|904654| 3.017600 |PUN |22.2B|  0.000|9|0|38|7|4|4|0
4801|WISEA J143814.79+351900.9|219.56164 |  35.31693 |G|911969| 3.042000 |PUN |21.6z|  0.000|3|0|22|4|1|0|0
4802|WISEA J143816.82+045902.6|219.57039 |   4.98410 |*|911307| 3.039794 |SLS |20.7g|  0.000|10|0|17|5|4|4|0
4803|WISEA J143817.38+342047.8|219.57232 |  34.34648 |*|905469| 3.020320 |SLS |22.0g|  0.000|3|0|27|5|2|4|0
4804|SDSS J143820.33+345757.0|219.58472 |  34.96587 |*|912260| 3.042970 |SLS |22.4g|  0.000|0|0|13|3|1|4|0
4805|WISEA J143825.57+315126.2|219.60646 |  31.85726 |QSO|900021| 3.002146 |SLS |20.2g|  0.000|20|0|38|6|11|8|0
