No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
4436|WISEA J140353.47+451805.2|210.97270 |  45.30153 |*|902825| 3.011499 |SLS |21.6g|  0.000|2|0|17|3|1|3|0
4437|WISEA J140410.23+234903.4|211.04264 |  23.81761 |*|902035| 3.008866 |SLS |20.6g|  0.000|5|0|17|3|1|4|0
4438|WISEA J140410.58+173123.4|211.04412 |  17.52319 |QSO|910815| 3.038152 |SLS |19.5g|  0.000|18|0|17|8|7|4|0
4439|WISEA J140413.75-025511.2|211.05723 |  -2.91975 |QSO|911688| 3.041063 |SLS |20.5g|  0.000|32|0|38|7|14|8|0
4440|WISEA J140421.97+522152.3|211.09150 |  52.36442 |*|902106| 3.009100 |SLS |20.9g|  0.000|2|0|17|4|2|4|0
4441|SDSS J140447.22+542633.2|211.19677 |  54.44257 |*|900277| 3.003000 |SLS |21.9g|  0.000|3|0|27|5|1|4|0
4442|WISEA J140454.94-013428.6|211.22891 |  -1.57471 |*|908579| 3.030693 |SLS |19.7g|  0.000|9|0|17|5|3|4|0
4443|WISEA J140503.06+554430.4|211.26276 |  55.74180 |*|909209| 3.032793 |SLS |20.3g|  0.000|5|0|27|5|1|4|0
4444|WISEA J140515.78-012140.5|211.31568 |  -1.36141 |IrS|903718| 3.014480 |SLS |     |  0.000|0|0|12|2|1|0|0
4445|WISEA J140542.93+345550.3|211.42891 |  34.93065 |QSO|912577| 3.044030 |SLS |20.3g|  0.000|32|0|38|8|14|6|0
4446|WISEA J140545.36+085107.0|211.43910 |   8.85200 |*|912868| 3.045000 |PUN |21.0g|  0.000|2|0|17|2|1|4|0
4447|SL2S J1405+5243 BG|211.44281 |  52.71961 |RadioS|902375| 3.010000 |PUN |     |  0.000|2|0|1|2|1|0|0
4448|WISEA J140600.95+072518.4|211.50396 |   7.42180 |QSO|909273| 3.033009 |SLS |18.8g|  0.000|35|0|46|11|17|8|0
4449|WISEA J140613.11+284300.1|211.55452 |  28.71656 |*|912868| 3.045000 |PUN |21.5g|  0.000|3|0|17|2|1|4|0
4450|WISEA J140613.18+603452.5|211.55493 |  60.58127 |*|909870| 3.035000 |PUN |22.5g|  0.000|2|0|17|2|1|4|0
4451|WISEA J140628.84+164016.6|211.62016 |  16.67129 |*|900185| 3.002694 |SLS |19.7g|  0.000|6|0|21|4|1|4|0
4452|WISEA J140633.00+513017.2|211.63750 |  51.50480 |QSO|910650| 3.037600 |SLS |19.8g|  0.000|35|0|38|8|14|8|0
4453|WISEA J140656.11+264015.0|211.73381 |  26.67084 |QSO|906582| 3.024032 |SLS |19.1g|  0.000|19|0|18|7|11|4|0
4454|WISEA J140657.88+054449.6|211.74104 |   5.74679 |*|912975| 3.045356 |SLS |21.2g|  0.000|8|0|17|5|3|4|0
4455|WISEA J140704.50+175427.4|211.76902 |  17.90766 |*|907555| 3.027276 |SLS |22.0g|  0.000|5|0|17|4|2|4|0
4456|WISEA J140705.31+065055.3|211.77216 |   6.84869 |QSO|909791| 3.034736 |SLS |20.4g|  0.000|35|0|42|13|18|8|0
4457|WISEA J140716.23+333050.3|211.81776 |  33.51392 |*|900496| 3.003730 |SLS |21.2g|  0.000|9|0|17|4|3|4|0
4458|WISEA J140735.75+124323.0|211.89974 |  12.72366 |*|912868| 3.045000 |PUN |22.2g|  0.000|2|0|17|2|1|4|0
4459|WISEA J140741.28+355122.4|211.92198 |  35.85619 |*|913248| 3.046266 |SLS |21.5g|  0.000|9|0|17|4|3|4|0
4460|WISEA J140753.44+110828.6|211.97265 |  11.14133 |*|905813| 3.021465 |SLS |22.2g|  0.000|5|0|17|3|1|4|0
4461|WISEA J140809.86+633045.9|212.04109 |  63.51276 |*|899378| 3.000003 |SLS |20.0g|  0.000|4|0|17|3|2|4|0
4462|WISEA J140814.08+552052.0|212.05867 |  55.34779 |*|906828| 3.024851 |SLS |20.2g|  0.000|1|0|17|3|1|4|0
4463|WISEA J140817.08-034636.0|212.07120 |  -3.77669 |QSO|906273| 3.023000 |UUN |     |  0.000|1|0|22|4|2|0|0
4464|WISEA J140845.75-013448.9|212.19061 |  -1.58028 |*|909870| 3.035000 |PUN |22.8g|  0.000|2|0|17|2|1|4|0
4465|WISEA J140859.61+164034.5|212.24825 |  16.67622 |*|912803| 3.044783 |SLS |20.2g|  0.000|5|0|17|3|1|4|0
4466|WISEA J140902.82+195654.8|212.26179 |  19.94852 |*|911398| 3.040096 |SLS |21.5g|  0.000|7|0|17|3|2|4|0
4467|SDSS J140903.87+003956.8|212.26602 |   0.66573 |G|911936| 3.041890 |SLS |21.9g|  0.000|0|0|17|3|1|4|0
4468|WISEA J140904.07+173956.7|212.26698 |  17.66578 |*|900122| 3.002485 |SLS |20.5g|  0.000|6|0|17|3|1|4|0
4469|WISEA J140906.94+353112.4|212.27878 |  35.52011 |QSO|902487| 3.010371 |SLS |20.0g|  0.000|32|0|38|12|17|8|0
4470|WISEA J140917.83+515002.6|212.32432 |  51.83406 |IrS|909970| 3.035334 |SLS |     |  0.000|1|0|12|2|1|0|0
4471|WISEA J140918.34+565003.5|212.32661 |  56.83463 |*|902090| 3.009048 |SLS |21.1g|  0.000|5|0|17|3|2|4|0
4472|WISEA J140918.79+050934.4|212.32792 |   5.15965 |*|900876| 3.005000 |PUN |21.0g|  0.000|3|0|17|2|1|4|0
4473|WISEA J140925.55+133502.0|212.35650 |  13.58392 |IrS|913768| 3.048000 |UUN |     |  0.000|2|0|15|4|2|0|0
4474|WISEA J140934.36+422736.9|212.39318 |  42.46028 |QSO|910512| 3.037142 |SLS |19.4g|  0.000|33|0|38|9|16|8|0
4475|WISEA J140949.13+174213.7|212.45530 |  17.70384 |*|909870| 3.035000 |PUN |22.9g|  0.000|2|0|17|2|1|4|0
4476|WISEA J141027.80+621352.4|212.61584 |  62.23129 |*|909870| 3.035000 |PUN |22.9g|  0.000|2|0|17|2|1|4|0
4477|WISEA J141030.60+633623.4|212.62750 |  63.60652 |*|912868| 3.045000 |PUN |22.4g|  0.000|2|0|17|2|1|4|0
4478|WISEA J141030.81+094019.6|212.62795 |   9.67191 |*|912868| 3.045000 |PUN |21.9g|  0.000|3|0|17|2|1|3|0
4479|WISEA J141050.59+481635.2|212.71081 |  48.27647 |*|912868| 3.045000 |PUN |21.8g|  0.000|2|0|17|2|1|4|0
4480|WISEA J141117.95+632945.4|212.82480 |  63.49596 |*|903342| 3.013225 |SLS |19.8g|  0.000|2|0|17|3|1|4|0
4481|WISEA J141147.00+414905.7|212.94586 |  41.81826 |QSO|901594| 3.007395 |SLS |     |  0.000|4|0|12|2|1|0|0
4482|WISEA J141215.42+373225.5|213.06424 |  37.54039 |*|912868| 3.045000 |PUN |21.7g|  0.000|3|0|17|2|1|4|0
4483|WISEA J141216.00+441457.7|213.06700 |  44.24976 |*|912868| 3.045000 |PUN |20.9g|  0.000|3|0|17|2|1|4|0
4484|WISEA J141239.86+274612.3|213.16610 |  27.76986 |*|901406| 3.006765 |SLS |21.3g|  0.000|7|0|17|3|2|4|0
4485|WISEA J141244.97+244215.3|213.18733 |  24.70430 |*|912868| 3.045000 |PUN |21.3g|  0.000|3|0|17|2|1|4|0
4486|WISEA J141255.31+412653.9|213.23046 |  41.44832 |*|899660| 3.000942 |SLS |19.0g|  0.000|5|0|17|3|1|4|0
4487|WISEA J141318.07+482027.0|213.32542 |  48.34080 |*|912868| 3.045000 |PUN |22.8g|  0.000|2|0|17|2|1|4|0
4488|WISEA J141327.89+143629.9|213.36633 |  14.60813 |*|905481| 3.020359 |SLS |21.9g|  0.000|7|0|17|3|2|4|0
4489|WISEA J141332.65+374841.6|213.38599 |  37.81163 |*|899403| 3.000085 |SLS |20.5g|  0.000|7|0|17|3|1|4|0
